,dataset,amount_of_features,feature_importance_method,mse
205,digits,12,custom3,1.674
206,digits,25,custom3,1.163
207,digits,38,custom3,1.169
208,digits,51,custom3,1.22
209,digits,64,custom3,1.2
210,housing_with_noise,1,random_forest,1.021
211,housing_with_noise,3,random_forest,0.512
212,housing_with_noise,4,random_forest,0.381
213,housing_with_noise,6,random_forest,0.39
214,housing_with_noise,8,random_forest,0.394
215,housing_with_noise,1,gradient_boosting,0.762
216,housing_with_noise,3,gradient_boosting,0.497
217,housing_with_noise,4,gradient_boosting,0.413
218,housing_with_noise,6,gradient_boosting,0.406
219,housing_with_noise,8,gradient_boosting,0.406
220,housing_with_noise,1,xgboost,0.786
221,housing_with_noise,3,xgboost,0.499
222,housing_with_noise,4,xgboost,0.375
223,housing_with_noise,6,xgboost,0.369
224,housing_with_noise,8,xgboost,0.372
225,housing_with_noise,1,custom1,1.021
226,housing_with_noise,3,custom1,0.512
227,housing_with_noise,4,custom1,0.381
228,housing_with_noise,6,custom1,0.39
229,housing_with_noise,8,custom1,0.394
230,housing_with_noise,1,custom2,1.918
231,housing_with_noise,3,custom2,0.512
232,housing_with_noise,4,custom2,0.382
233,housing_with_noise,6,custom2,0.384
234,housing_with_noise,8,custom2,0.393
235,housing_with_noise,1,custom3,1.021
236,housing_with_noise,3,custom3,0.512
237,housing_with_noise,4,custom3,0.381
238,housing_with_noise,6,custom3,0.384
239,housing_with_noise,8,custom3,0.394
240,diabetes,2,wavelets,3802.211
241,diabetes,4,wavelets,3074.59
242,diabetes,6,wavelets,3083.131
243,diabetes,8,wavelets,3280.486
244,diabetes,10,wavelets,3244.348
245,iris,1,wavelets,0.039
246,iris,1,wavelets,0.039
247,iris,2,wavelets,0.058
248,iris,3,wavelets,0.036
249,iris,4,wavelets,0.011
250,breast_cancer,6,wavelets,0.058
251,breast_cancer,12,wavelets,0.048
252,breast_cancer,18,wavelets,0.048
253,breast_cancer,24,wavelets,0.049
254,breast_cancer,30,wavelets,0.048
255,wine,2,wavelets,0.294
256,wine,5,wavelets,0.036
257,wine,7,wavelets,0.037
258,wine,10,wavelets,0.023
259,wine,13,wavelets,0.019
260,digits,12,wavelets,1.846
261,digits,25,wavelets,1.247
262,digits,38,wavelets,1.207
263,digits,51,wavelets,1.179
264,digits,64,wavelets,1.205
